species,matric_pot,hyphal_rate,type
a.gal10.n,-1.57,0.4744015427,smoothed
a.gal10.n,-1.58,0.4726664978,smoothed
a.gal10.n,-1.59,0.4709221683,smoothed
a.gal10.n,-1.6,0.4691687043,smoothed
a.gal10.n,-1.61,0.4674062558,smoothed
a.gal10.n,-1.62,0.4656349733,smoothed
a.gal10.n,-1.63,0.4638550078,smoothed
a.gal10.n,-1.64,0.4620665103,smoothed
a.gal10.n,-1.65,0.4602696321,smoothed
a.gal10.n,-1.66,0.4584645251,smoothed
a.gal10.n,-1.67,0.4566513409,smoothed
a.gal10.n,-1.68,0.4548302316,smoothed
a.gal10.n,-1.69,0.4530013496,smoothed
a.gal10.n,-1.7,0.4511648472,smoothed
a.gal10.n,-1.71,0.449320877,smoothed
a.gal10.n,-1.72,0.4474695916,smoothed
a.gal10.n,-1.73,0.4456111438,smoothed
a.gal10.n,-1.74,0.4437456864,smoothed
a.gal10.n,-1.75,0.4418733725,smoothed
a.gal10.n,-1.76,0.4399943548,smoothed
a.gal10.n,-1.77,0.4381087865,smoothed
a.gal10.n,-1.78,0.4362168204,smoothed
a.gal10.n,-1.79,0.4343186095,smoothed
a.gal10.n,-1.8,0.4324143067,smoothed
a.gal10.n,-1.81,0.4305040649,smoothed
a.gal10.n,-1.82,0.4285880368,smoothed
a.gal10.n,-1.83,0.426666375,smoothed
a.gal10.n,-1.84,0.424739232,smoothed
a.gal10.n,-1.85,0.4228067604,smoothed
a.gal10.n,-1.86,0.4208691123,smoothed
a.gal10.n,-1.87,0.4189264397,smoothed
a.gal10.n,-1.88,0.4169788944,smoothed
a.gal10.n,-1.89,0.4150266282,smoothed
a.gal10.n,-1.9,0.4130697925,smoothed
a.gal10.n,-1.91,0.4111085382,smoothed
a.gal10.n,-1.92,0.4091430164,smoothed
a.gal10.n,-1.93,0.4071733775,smoothed
a.gal10.n,-1.94,0.4051997718,smoothed
a.gal10.n,-1.95,0.4032223492,smoothed
a.gal10.n,-1.96,0.4012412593,smoothed
a.gal10.n,-1.97,0.3992566513,smoothed
a.gal10.n,-1.98,0.3972686739,smoothed
a.gal10.n,-1.99,0.3952774757,smoothed
a.gal10.n,-2,0.3932832045,smoothed
a.gal10.n,-2.01,0.391286008,smoothed
a.gal10.n,-2.02,0.3892860332,smoothed
a.gal10.n,-2.03,0.3872834267,smoothed
a.gal10.n,-2.04,0.3852783347,smoothed
a.gal10.n,-2.05,0.3832709028,smoothed
a.gal10.n,-2.06,0.3812612761,smoothed
a.gal10.n,-2.07,0.3792495991,smoothed
a.gal10.n,-2.08,0.3772360158,smoothed
a.gal10.n,-2.09,0.3752206697,smoothed
a.gal10.n,-2.1,0.3732037035,smoothed
a.gal10.n,-2.11,0.3711852596,smoothed
a.gal10.n,-2.12,0.3691654796,smoothed
a.gal10.n,-2.13,0.3671445043,smoothed
a.gal10.n,-2.14,0.3651224742,smoothed
a.gal10.n,-2.15,0.3630995289,smoothed
a.gal10.n,-2.16,0.3610758073,smoothed
a.gal10.n,-2.17,0.3590514479,smoothed
a.gal10.n,-2.18,0.357026588,smoothed
a.gal10.n,-2.19,0.3550013646,smoothed
a.gal10.n,-2.2,0.3529759139,smoothed
a.gal10.n,-2.21,0.3509503711,smoothed
a.gal10.n,-2.22,0.3489248708,smoothed
a.gal10.n,-2.23,0.3468995469,smoothed
a.gal10.n,-2.24,0.3448745325,smoothed
a.gal10.n,-2.25,0.3428499596,smoothed
a.gal10.n,-2.26,0.3408259597,smoothed
a.gal10.n,-2.27,0.3388026635,smoothed
a.gal10.n,-2.28,0.3367802005,smoothed
a.gal10.n,-2.29,0.3347586997,smoothed
a.gal10.n,-2.3,0.3327382891,smoothed
a.gal10.n,-2.31,0.3307190959,smoothed
a.gal10.n,-2.32,0.3287012462,smoothed
a.gal10.n,-2.33,0.3266848654,smoothed
a.gal10.n,-2.34,0.3246700779,smoothed
a.gal10.n,-2.35,0.3226570073,smoothed
a.gal10.n,-2.36,0.320645776,smoothed
a.gal10.n,-2.37,0.3186365057,smoothed
a.gal10.n,-2.38,0.3166293171,smoothed
a.gal10.n,-2.39,0.3146243299,smoothed
a.gal10.n,-2.4,0.3126216628,smoothed
a.gal10.n,-2.41,0.3106214335,smoothed
a.gal10.n,-2.42,0.3086237588,smoothed
a.gal10.n,-2.43,0.3066287545,smoothed
a.gal10.n,-2.44,0.3046365352,smoothed
a.gal10.n,-2.45,0.3026472147,smoothed
a.gal10.n,-2.46,0.3006609057,smoothed
a.gal10.n,-2.47,0.2986777199,smoothed
a.gal10.n,-2.48,0.2966977678,smoothed
a.gal10.n,-2.49,0.2947211589,smoothed
a.gal10.n,-2.5,0.2927480019,smoothed
a.gal10.n,-2.51,0.2907784041,smoothed
a.gal10.n,-2.52,0.2888124719,smoothed
a.gal10.n,-2.53,0.2868503104,smoothed
a.gal10.n,-2.54,0.2848920241,smoothed
a.gal10.n,-2.55,0.2829377158,smoothed
a.gal10.n,-2.56,0.2809874876,smoothed
a.gal10.n,-2.57,0.2790414405,smoothed
a.gal10.n,-2.58,0.2770996741,smoothed
a.gal10.n,-2.59,0.2751622871,smoothed
a.gal10.n,-2.6,0.2732293771,smoothed
a.gal10.n,-2.61,0.2713010404,smoothed
a.gal10.n,-2.62,0.2693773723,smoothed
a.gal10.n,-2.63,0.267458467,smoothed
a.gal10.n,-2.64,0.2655444175,smoothed
a.gal10.n,-2.65,0.2636353156,smoothed
a.gal10.n,-2.66,0.2617312519,smoothed
a.gal10.n,-2.67,0.2598323161,smoothed
a.gal10.n,-2.68,0.2579385966,smoothed
a.gal10.n,-2.69,0.2560501805,smoothed
a.gal10.n,-2.7,0.2541671539,smoothed
a.gal10.n,-2.71,0.2522896017,smoothed
a.gal10.n,-2.72,0.2504176077,smoothed
a.gal10.n,-2.73,0.2485512545,smoothed
a.gal10.n,-2.74,0.2466906233,smoothed
a.gal10.n,-2.75,0.2448357944,smoothed
a.gal10.n,-2.76,0.2429868468,smoothed
a.gal10.n,-2.77,0.2411438584,smoothed
a.gal10.n,-2.78,0.2393069059,smoothed
a.gal10.n,-2.79,0.2374760647,smoothed
a.gal10.n,-2.8,0.2356514092,smoothed
a.gal10.n,-2.81,0.2338330125,smoothed
a.gal10.n,-2.82,0.2320209465,smoothed
a.gal10.n,-2.83,0.2302152819,smoothed
a.gal10.n,-2.84,0.2284160885,smoothed
a.gal10.n,-2.85,0.2266234344,smoothed
a.gal10.n,-2.86,0.2248373871,smoothed
a.gal10.n,-2.87,0.2230580124,smoothed
a.gal10.n,-2.88,0.2212853752,smoothed
a.gal10.n,-2.89,0.2195195391,smoothed
a.gal10.n,-2.9,0.2177605667,smoothed
a.gal10.n,-2.91,0.2160085192,smoothed
a.gal10.n,-2.92,0.2142634568,smoothed
a.gal10.n,-2.93,0.2125254383,smoothed
a.gal10.n,-2.94,0.2107945216,smoothed
a.gal10.n,-2.95,0.2090707632,smoothed
a.gal10.n,-2.96,0.2073542185,smoothed
a.gal10.n,-2.97,0.2056449418,smoothed
a.gal10.n,-2.98,0.2039429862,smoothed
a.gal10.n,-2.99,0.2022484036,smoothed
a.gal10.n,-3,0.2005612448,smoothed
a.gal10.n,-3.01,0.1988815592,smoothed
a.gal10.n,-3.02,0.1972093955,smoothed
a.gal10.n,-3.03,0.1955448008,smoothed
a.gal10.n,-3.04,0.1938878213,smoothed
a.gal10.n,-3.05,0.192238502,smoothed
a.gal10.n,-3.06,0.1905968867,smoothed
a.gal10.n,-3.07,0.1889630183,smoothed
a.gal10.n,-3.08,0.1873369381,smoothed
a.gal10.n,-3.09,0.1857186868,smoothed
a.gal10.n,-3.1,0.1841083035,smoothed
a.gal10.n,-3.11,0.1825058266,smoothed
a.gal10.n,-3.12,0.1809112931,smoothed
a.gal10.n,-3.13,0.1793247391,smoothed
a.gal10.n,-3.14,0.1777461992,smoothed
a.gal10.n,-3.15,0.1761757075,smoothed
a.gal10.n,-3.16,0.1746132964,smoothed
a.gal10.n,-3.17,0.1730589977,smoothed
a.gal10.n,-3.18,0.1715128418,smoothed
a.gal10.n,-3.19,0.1699748581,smoothed
a.gal10.n,-3.2,0.168445075,smoothed
a.gal10.n,-3.21,0.1669235197,smoothed
a.gal10.n,-3.22,0.1654102186,smoothed
a.gal10.n,-3.23,0.1639051967,smoothed
a.gal10.n,-3.24,0.1624084782,smoothed
a.gal10.n,-3.25,0.1609200861,smoothed
a.gal10.n,-3.26,0.1594400425,smoothed
a.gal10.n,-3.27,0.1579683684,smoothed
a.gal10.n,-3.28,0.1565050837,smoothed
a.gal10.n,-3.29,0.1550502075,smoothed
a.gal10.n,-3.3,0.1536037577,smoothed
a.gal10.n,-3.31,0.1521657513,smoothed
a.gal10.n,-3.32,0.1507362041,smoothed
a.gal10.n,-3.33,0.1493151313,smoothed
a.gal10.n,-3.34,0.1479025468,smoothed
a.gal10.n,-3.35,0.1464984635,smoothed
a.gal10.n,-3.36,0.1451028936,smoothed
a.gal10.n,-3.37,0.1437158481,smoothed
a.gal10.n,-3.38,0.1423373373,smoothed
a.gal10.n,-3.39,0.1409673702,smoothed
a.gal10.n,-3.4,0.1396059552,smoothed
a.gal10.n,-3.41,0.1382530996,smoothed
a.gal10.n,-3.42,0.1369088099,smoothed
a.gal10.n,-3.43,0.1355730914,smoothed
a.gal10.n,-3.44,0.1342459489,smoothed
a.gal10.n,-3.45,0.1329273861,smoothed
a.gal10.n,-3.46,0.1316174057,smoothed
a.gal10.n,-3.47,0.1303160098,smoothed
a.gal10.n,-3.48,0.1290231993,smoothed
a.gal10.n,-3.49,0.1277389746,smoothed
a.gal10.n,-3.5,0.1264633349,smoothed
a.gal10.n,-3.51,0.1251962789,smoothed
a.gal10.n,-3.52,0.12393780410000001,smoothed
a.gal10.n,-3.53,0.1226879075,smoothed
a.gal10.n,-3.54,0.1214465851,smoothed
a.gal10.n,-3.55,0.120213832,smoothed
a.gal10.n,-3.56,0.1189896428,smoothed
a.gal10.n,-3.57,0.1177740111,smoothed
a.gal10.n,-3.58,0.1165669297,smoothed
a.gal10.n,-3.59,0.1153683907,smoothed
a.gal10.n,-3.6,0.1141783855,smoothed
a.gal10.n,-3.61,0.1129969045,smoothed
a.gal10.n,-3.62,0.1118239376,smoothed
a.gal10.n,-3.63,0.1106594739,smoothed
a.gal10.n,-3.64,0.1095035017,smoothed
a.gal10.n,-3.65,0.1083560087,smoothed
a.gal10.n,-3.66,0.1072169817,smoothed
a.gal10.n,-3.67,0.106086407,smoothed
a.gal10.n,-3.68,0.1049642701,smoothed
a.gal10.n,-3.69,0.1038505558,smoothed
a.gal10.n,-3.7,0.1027452484,smoothed
a.gal10.n,-3.71,0.1016483312,smoothed
a.gal10.n,-3.72,0.1005597872,smoothed
a.gal10.n,-3.73,0.0994795986,smoothed
a.gal10.n,-3.74,0.0984077469,smoothed
a.gal10.n,-3.75,0.0973442131,smoothed
a.gal10.n,-3.76,0.0962889774,smoothed
a.gal10.n,-3.77,0.0952420197,smoothed
a.gal10.n,-3.78,0.0942033189,smoothed
a.gal10.n,-3.79,0.0931728537,smoothed
a.gal10.n,-3.8,0.092150602,smoothed
a.gal10.n,-3.81,0.091136541,smoothed
a.gal10.n,-3.82,0.0901306478,smoothed
a.gal10.n,-3.83,0.0891328984,smoothed
a.gal10.n,-3.84,0.0881432686,smoothed
a.gal10.n,-3.85,0.0871617336,smoothed
a.gal10.n,-3.86,0.0861882681,smoothed
a.gal10.n,-3.87,0.0852228461,smoothed
a.gal10.n,-3.88,0.0842654413,smoothed
a.gal10.n,-3.89,0.0833160268,smoothed
a.gal10.n,-3.9,0.0823745753,smoothed
a.gal10.n,-3.91,0.0814410588,smoothed
a.gal10.n,-3.92,0.0805154492,smoothed
a.gal10.n,-3.93,0.0795977177,smoothed
a.gal10.n,-3.94,0.0786878349,smoothed
a.gal10.n,-3.95,0.0777857713,smoothed
a.gal10.n,-3.96,0.0768914967,smoothed
a.gal10.n,-3.97,0.0760049806,smoothed
a.gal10.n,-3.98,0.0751261921,smoothed
a.gal10.n,-3.99,0.0742550998,smoothed
a.gal10.n,-4,0.0733916719,smoothed
a.gal10.n,-4.01,0.0725358764,smoothed
a.gal10.n,-4.02,0.0716876807,smoothed
a.gal10.n,-4.03,0.0708470519,smoothed
a.gal10.n,-4.04,0.0700139567,smoothed
a.gal10.n,-4.05,0.0691883615,smoothed
a.gal10.n,-4.06,0.0683702325,smoothed
a.gal10.n,-4.07,0.0675595351,smoothed
a.gal10.n,-4.08,0.066756235,smoothed
a.gal10.n,-4.09,0.065960297,smoothed
a.gal10.n,-4.1,0.065171686,smoothed
a.gal10.n,-4.11,0.0643903663,smoothed
a.gal10.n,-4.12,0.0636163021,smoothed
a.gal10.n,-4.13,0.0628494573,smoothed
a.gal10.n,-4.14,0.0620897954,smoothed
a.gal10.n,-4.15,0.0613372798,smoothed
a.gal10.n,-4.16,0.0605918734,smoothed
a.gal10.n,-4.17,0.059853539,smoothed
a.gal10.n,-4.18,0.0591222392,smoothed
a.gal10.n,-4.19,0.0583979364,smoothed
a.gal10.n,-4.2,0.0576805924,smoothed
a.gal10.n,-4.21,0.0569701693,smoothed
a.gal10.n,-4.22,0.0562666285,smoothed
a.gal10.n,-4.23,0.0555699316,smoothed
a.gal10.n,-4.24,0.0548800398,smoothed
a.gal10.n,-4.25,0.054196914,smoothed
a.gal10.n,-4.26,0.0535205152,smoothed
a.gal10.n,-4.27,0.0528508039,smoothed
a.gal10.n,-4.28,0.0521877407,smoothed
a.gal10.n,-4.29,0.0515312859,smoothed
a.gal10.n,-4.3,0.0508813997,smoothed
a.gal10.n,-4.31,0.0502380421,smoothed
a.gal10.n,-4.32,0.049601173,smoothed
a.gal10.n,-4.33,0.0489707522,smoothed
a.gal10.n,-4.34,0.0483467392,smoothed
a.gal10.n,-4.35,0.0477290936,smoothed
a.gal10.n,-4.36,0.0471177747,smoothed
a.gal10.n,-4.37,0.046512742,smoothed
a.gal10.n,-4.38,0.0459139544,smoothed
a.gal10.n,-4.39,0.0453213712,smoothed
a.gal10.n,-4.4,0.0447349513,smoothed
a.gal10.n,-4.41,0.0441546537,smoothed
a.gal10.n,-4.42,0.0435804372,smoothed
a.gal10.n,-4.43,0.0430122606,smoothed
a.gal10.n,-4.44,0.0424500826,smoothed
a.gal10.n,-4.45,0.0418938619,smoothed
a.gal10.n,-4.46,0.0413435571,smoothed
a.gal10.n,-4.47,0.0407991268,smoothed
a.gal10.n,-4.48,0.0402605296,smoothed
a.gal10.n,-4.49,0.0397277239,smoothed
a.gal10.n,-4.5,0.0392006682,smoothed
a.gal10.n,-4.51,0.038679321,smoothed
a.gal10.n,-4.52,0.0381636408,smoothed
a.gal10.n,-4.53,0.037653586,smoothed
a.gal10.n,-4.54,0.0371491151,smoothed
a.gal10.n,-4.55,0.0366501864,smoothed
a.gal10.n,-4.56,0.0361567586,smoothed
a.gal10.n,-4.57,0.0356687899,smoothed
a.gal10.n,-4.58,0.035186239,smoothed
a.gal10.n,-4.59,0.0347090644,smoothed
a.gal10.n,-4.6,0.0342372246,smoothed
a.gal10.n,-4.61,0.0337706782,smoothed
a.gal10.n,-4.62,0.0333093838,smoothed
a.gal10.n,-4.63,0.0328533,smoothed
a.gal10.n,-4.64,0.0324023857,smoothed
a.gal10.n,-4.65,0.0319565996,smoothed
a.gal10.n,-4.66,0.0315159005,smoothed
a.gal10.n,-4.67,0.0310802473,smoothed
a.gal10.n,-4.68,0.030649599,smoothed
a.gal10.n,-4.69,0.0302239146,smoothed
a.gal10.n,-4.7,0.0298031532,smoothed
a.gal10.n,-4.71,0.0293872741,smoothed
a.gal10.n,-4.72,0.0289762365,smoothed
a.gal10.n,-4.73,0.0285699998,smoothed
a.gal10.n,-4.74,0.0281685235,smoothed
a.gal10.n,-4.75,0.0277717671,smoothed
a.gal10.n,-4.76,0.0273796904,smoothed
a.gal10.n,-4.77,0.026992253,smoothed
a.gal10.n,-4.78,0.0266094149,smoothed
a.gal10.n,-4.79,0.026231136,smoothed
a.gal10.n,-4.8,0.0258573766,smoothed
a.gal10.n,-4.81,0.0254880968,smoothed
a.gal10.n,-4.82,0.0251232569,smoothed
a.gal10.n,-4.83,0.0247628175,smoothed
a.gal10.n,-4.84,0.0244067392,smoothed
a.gal10.n,-4.85,0.0240549828,smoothed
a.gal10.n,-4.86,0.0237075091,smoothed
a.gal10.n,-4.87,0.0233642792,smoothed
a.gal10.n,-4.88,0.0230252543,smoothed
a.gal10.n,-4.89,0.0226903956,smoothed
a.gal10.n,-4.9,0.0223596647,smoothed
a.gal10.n,-4.91,0.0220330232,smoothed
a.gal10.n,-4.92,0.0217104328,smoothed
a.gal10.n,-4.93,0.0213918556,smoothed
a.gal10.n,-4.94,0.021077253600000002,smoothed
a.gal10.n,-4.95,0.020766589,smoothed
a.gal10.n,-4.96,0.0204598244,smoothed
a.gal10.n,-4.97,0.0201569223,smoothed
a.gal10.n,-4.98,0.0198578455,smoothed
a.gal10.n,-4.99,0.0195625569,smoothed
a.gal10.n,-5,0.0192710197,smoothed
a.gal1.s,-0,0.0015847582,smoothed
a.gal1.s,-0.01,0.0018883085,smoothed
a.gal1.s,-0.02,0.0022426775,smoothed
a.gal1.s,-0.03,0.0026549017,smoothed
a.gal1.s,-0.04,0.0031327214,smoothed
a.gal1.s,-0.05,0.0036846045,smoothed
a.gal1.s,-0.06,0.0043197638,smoothed
a.gal1.s,-0.07,0.0050481654,smoothed
a.gal1.s,-0.08,0.0058805261,smoothed
a.gal1.s,-0.09,0.0068282999,smoothed
a.gal1.s,-0.1,0.0079036511,smoothed
a.gal1.s,-0.11,0.0091194123,smoothed
a.gal1.s,-0.12,0.0104890276,smoothed
a.gal1.s,-0.13,0.0120264785,smoothed
a.gal1.s,-0.14,0.0137461921,smoothed
a.gal1.s,-0.15,0.0156629321,smoothed
a.gal1.s,-0.16,0.017791671,smoothed
a.gal1.s,-0.17,0.0201474452,smoothed
a.gal1.s,-0.18,0.0227451924,smoothed
a.gal1.s,-0.19,0.025599574,smoothed
a.gal1.s,-0.2,0.0287247823,smoothed
a.gal1.s,-0.21,0.0321343369,smoothed
a.gal1.s,-0.22,0.0358408702,smoothed
a.gal1.s,-0.23,0.0398559081,smoothed
a.gal1.s,-0.24,0.0441896473,smoothed
a.gal1.s,-0.25,0.048850733,smoothed
a.gal1.s,-0.26,0.0538460433,smoothed
a.gal1.s,-0.27,0.059180482,smoothed
a.gal1.s,-0.28,0.0648567864,smoothed
a.gal1.s,-0.29,0.0708753535,smoothed
a.gal1.s,-0.3,0.0772340893,smoothed
a.gal1.s,-0.31,0.0839282853,smoothed
a.gal1.s,-0.32,0.090950527,smoothed
a.gal1.s,-0.33,0.0982906356,smoothed
a.gal1.s,-0.34,0.1059356482,smoothed
a.gal1.s,-0.35,0.1138698373,smoothed
a.gal1.s,-0.36,0.1220747704,smoothed
a.gal1.s,-0.37,0.1305294123,smoothed
a.gal1.s,-0.38,0.1392102672,smoothed
a.gal1.s,-0.39,0.1480915614,smoothed
a.gal1.s,-0.4,0.1571454636,smoothed
a.gal1.s,-0.41,0.1663423394,smoothed
a.gal1.s,-0.42,0.1756510375,smoothed
a.gal1.s,-0.43,0.1850392013,smoothed
a.gal1.s,-0.44,0.194473602,smoothed
a.gal1.s,-0.45,0.2039204873,smoothed
a.gal1.s,-0.46,0.2133459389,smoothed
a.gal1.s,-0.47,0.2227162332,smoothed
a.gal1.s,-0.48,0.2319981984,smoothed
a.gal1.s,-0.49,0.2411595624,smoothed
a.gal1.s,-0.5,0.2501692837,smoothed
a.gal1.s,-0.51,0.2589978623,smoothed
a.gal1.s,-0.52,0.2676176223,smoothed
a.gal1.s,-0.53,0.2760029647,smoothed
a.gal1.s,-0.54,0.2841305847,smoothed
a.gal1.s,-0.55,0.2919796507,smoothed
a.gal1.s,-0.56,0.299531944,smoothed
a.gal1.s,-0.57,0.3067719573,smoothed
