"","gen.name2","name3","rate.0.5","density","temp.niche.low","temp.niche.high","temp.niche.width","temp.max.rate","temp.temp.at.max.rate","water.niche.low","water.high","water.niche.width","water.max.r","water.mpa.at.max.r","bg","cbh","phos","nag","lap","abts","perox","phenox","net.perox","bg.w","cbh.w","phos.w","nag.w","lap.w","abts.w","perox.w","phenox.w","net.perox.w","ranking","X1","X2","X4","X6","X7","X8","X9","X10","X11","X12","X14","X16","X18","X20","X21","X23","X24","X25","X26","X27","X28","X29","X30","X35","X36","X37","X39","X40","X41","X42","X43","X44","X45","X47","X48","X51","X54","X55","X56","X57","X58","X60","X62","X63","X65","X","X67","X68","X70","X71","X72","X73","X74","X75","X.1","X78","X79","X81","X84","X85","X86","X87","X89","X91","X92","X93","X97","X99","X101","X102","X103"
"12","Fomes_fomentarius_TJV93_7_A3E","f.fom.n",4.71,0.002375,20.8,30.1,9.3,7.549717386,27.3,0.1,1.29,1.19,4.777815358,-0.24,1.8,1.6,15.7,8.4,0.1,40.244,0.377,1.056,0.136,2.6,1.9,29.4,20.8,0,40.244,0.377,1.056,0,0.28474739872575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Hyphodontia_crustosa_HHB13392_B7B","h.crust.n",1.96,0.12,7.1,30.3,23.2,1.694426313,25.6,0.09,1.28,1.19,1.91152886,-0.23,1.5,1.9,8.3,4.2,0.4,5.429,0.019,0.103,0.026,2.4,1.4,25,10.9,-0.1,5.429,0.019,0.103,0,0.569494797451499,0,59962.6,10481.2,0,19141.8,1682.2,1287.6,387,243713.8,31246.2,5910,475,4902035.6,15298,83905.8,140092.4,147691.4,12849,2794.2,782351.2,35339,977,13094,20689.4,22339,29928,57984.6,43358.6,21164,130108.6,0,271767.8,15554,0,1960,5990.8,11420.2,0,3184,0,21781.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Hyphoderma_setigerum_HHB12156_B3H","h.seti.n",4.11,0.09,16.9,29.4,12.5,8.024240476,26.8,0.12,1.31,1.19,4.726253434,-0.26,5.7,0.6,6.3,9.3,0.3,28.949,0.236,0.179,0.057,2.7,0.9,38.7,3.5,0.6,27.752,0.236,0.313,0,0.753370803500884,0,17342.6,41876.2,294.2,0,0,1335.6,395,4166.8,0,0,1069,377925.6,0,13819.8,0,8799.4,296,0,1102463.2,33581,0,12765,15989.4,22754,17915,23681.6,0,25943,195224.6,0,314093.8,35741,0,9212,0,0,5387.8,12203,28935,1369.4,0,121.2,0,989,0,245,0,0,0,0,452,3562,0,0,0,3460,5503,5304,0,3175,3739,0,0,333482,10550,0,184620.8,4108,957.4,2317.6
"15","Hyphoderma_setigerum_FP150263_B2C","h.seti.s",4.7,0.03,19,28.7,9.7,6.358749717,26.7,0.36,1.74,1.38,4.805031058,-0.56,3.1,1.2,3.8,2.9,0.2,27.749,0.184,0.805,1e-04,1.5,1,8,1.5,0.2,23.605,0.184,0.219,0,0.569494797451499,NA,NA,NA,NA,80220.8,2730.2,1119.6,10379,324701.8,8860.2,0,7850,10464958.6,31785,191158.8,276092.4,292267.4,25066,42672.2,1590606.2,62348,1994,26842,38421.4,53852,55232,99042.6,67474.6,46990,277246.6,0,477023.8,37606,0,25803,11897.8,0,1227.8,8366,464,45803.4,0,0,0,0,0,0,0,0,787,0,96,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,530.4,0
"16","Laetiporus_caribensis_GDL1_A1A","l.carib.s",3.77,0.1,17.4,30.1,12.7,6.152065072,27.5,0.43,2.28,1.85,4.473590171,-0.65,5.6,3,2.3,22.6,0.3,31.741,1e-04,0.5185,1e-04,5.6,4.3,10.7,33.6,0,0,0,0.02,0,0.519875244910036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Laetiporus_conifericola_HHB15411_C8B","l.conif.n",5.16,0.04,17.5,29.6,12.1,7.722733051,27.1,0.3,1.52,1.22,5.233270444,-0.56,2.6,1.3,46.6,12.6,1.5,32.311,0.007,0.866,1e-04,1.8,1.7,32.3,9.5,0.2,0,0.007,0.67,0,0.28474739872575,0,1777.6,0,1739.2,12026.8,6168.2,1558.6,1187,111953.8,21795.2,4396,43762,8817644.6,22491,130393.8,144216.4,209266.4,16797,0,1131068.2,42050,1136,17590,21893.4,26664,34732,195350.6,0,24747,201968.6,0,293451.8,17399,0,1238,4431.8,2346.2,0,1957,274,20775.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4,3373.6
"18","Lentinus_crinitus_PR2058_C1B","l.crin.s",6.38,0.05,22.4,40.2,17.8,13.17871643,33.8,0.13,1.68,1.55,5.936369698,-0.31,0.2,0.6,0.3,3.3,0.1,21.799,0.161,0.261,1e-04,1.8,1.5,3.2,7.9,0,10.527,0.161,0.261,0,0.569494797451499,35566,16783.6,11202.2,3100.2,4674.8,1107.2,2321.6,670,7182.8,0,6879,6862,9210664.6,29479,151676.8,226864.4,245722.4,21264,29214.2,1599829.2,51301,2165,27204,46611.4,38278,46647,48603.6,69018.6,42283,231720.6,0,407027.8,37168,0,363,11769.8,9163.2,0,6459,10861,27989.4,0,0,0,0,0,0,0,0,0,0,301,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.6
"19","Laetiporus_gilbertsonii_CA6_C2D","l.gilb.s",4.14,0.12,20.6,33.1,12.5,6.789281617,30.5,0.16,1.63,1.47,4.126826123,-0.33,2.1,1.1,9.7,17.4,0.3,28.931,1e-04,1e-04,1e-04,2.9,1.5,14.6,14.8,0.1,0,0,0,0,0.328797974610715,0,5278.1,0,0,0,1274.2,0,213.5,1421.8,0,0,2695.5,31976.1,0,1563.3,17687.4,0,0,0,12556.7,671.5,836,2736.5,18029.4,0,318.5,1088.1,0,0,3003.1,0,2331.8,0,0,2307.5,0,0,0,2448.5,0,18.3999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5,0,0,0,0,0,0,0,0,0,0,0,0,2907.1
"20","Laetiporus_huroniensis_HMC1_C2H","l.huron.n",3.39,0.41,19.4,29.5,10.1,3.723044009,25.9,0.33,1.55,1.22,3.509664262,-0.58,1.8,1.3,21.2,8.5,0.5,1e-04,1e-04,0.015,1e-04,2.6,1.6,32.9,12.9,-0.1,0,0,0.015,0,0.232495277487639,0,296475.6,41283.2,2972.2,6962.8,4310.2,5780.6,1071,5773.8,0,1182,41571,90184.6,0,3062.8,0,6574.4,0,11258.2,119832.2,0,0,6594,110240.4,0,3940,116592.6,0,0,6376.6,0,13820.8,0,0,22352,0,1197.2,0,3879,8804,623.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,811,4257,0,0,0,0,0,0,2105,0,0,0,0,0,1975.6
"21","Mycoacia_meridionalis_FP150352_C4E","m.meri.s",1.3,0.84,15.5,28.4,12.9,1.88158113,25.8,0.09,1.28,1.19,1.317602262,-0.23,4,1.2,1e-04,2.6,1e-04,0.049,1e-04,2.265,1e-04,3.6,1.5,9.1,12.8,-0.1,0.049,0,0,0,0.569494797451499,0,66419.6,26992.2,1580.2,1306.8,1044.2,1812.6,895,2439.8,0,400,68108,50774.6,0,0,0,332.4,0,0,97464.2,0,0,4134,123870.4,0,3120,235709.6,0,0,6356.6,0,15385.8,0,0,0,0,4137.2,0,2028,8368,13401.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,1245.6
"22","Merulius_tremullosus_FP102301_C3E","m.trem.n",10.62,0.08,16.6,34.2,17.6,12.16134702,30.4,0.12,1.31,1.19,11.39773796,-0.26,2.1,1.2,11,3.1,1e-04,14.555,1e-04,0.7325,1e-04,2.4,1.1,17.8,7.6,-0.1,14.555,0,0.286,0,0.78842984571972,0,23627.6,15925.2,219.2,0,0,0,0,4165.8,0,0,8152,9581.6,0,0,0,0,0,0,154710.2,0,0,11767,28749.4,0,14953,80471.6,0,1396,15720.6,0,34614.8,0,6754.8,93101,1337.8,2278.2,0,20426,1940,1085.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Merulius_tremellosus_FP150849_C3F","m.trem.s",9.62,0.02,15.8,34,18.2,11.83958075,30.3,0.14,1.38,1.24,10.10426936,-0.28,2,1.3,2.1,2.9,1e-04,1.492,1e-04,2.4,1e-04,2.2,1.7,7.1,3.8,-0.2,1.492,0,0,0,0.838273644284909,0,75109.6,14096.2,0,2703.8,549.2,3721.6,1433,4642.8,81844.2,0,4551,24055.6,0,2192.8,0,581.4,0,0,52405.2,8261,0,2368,27114.4,0,1190,45024.6,5312.6,0,4448.6,0,8644.8,0,0,1394,0,2084.2,0,3736,0,1654.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5627,0,0,0,0,0,0,432,0,0,0,0,0,0
"24","Phlebiopsis_flavidoalba_FP102185_B12D","p.flav.n",8.04,0.05,18.8,35,16.2,13.76448067,30.7,0.15,1.72,1.57,7.848384865,-0.33,2.2,1.3,2,2,0.2,1e-04,1e-04,1.094,1e-04,2.2,1.7,1.2,2.5,-0.2,0,0,0.005,0,0.592748978363819,14782,434547.6,64837.2,981.2,4911.8,3590.2,4868.6,1281,6009.8,19857.2,2720,6070,69569.6,0,6149.8,8795.4,7183.4,127,5005.2,116119.2,2292,0,5547,102773.4,0,4050,17784.6,0,0,5032.6,0,12424.8,0,0,53495,0,0,0,5995,4409,1520.4,92273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,0,28,456.4,1790.6
"25","Phlebiopsis_flavidoalba_FP150451_A8G","p.flav.s",10.8,0.04,15.7,32.7,17,13.23061069,27.4,0.27,2.81,2.54,10.97296025,-0.58,2.2,1.5,3,2.9,0.1,1e-04,1e-04,1.066,1e-04,3.2,2.6,3,2.3,0,0,0,0.005,0,0.986393923832144,14782,434547.6,64837.2,981.2,4911.8,3590.2,4868.6,1281,6009.8,19857.2,2720,6070,69569.6,0,6149.8,8795.4,7183.4,127,5005.2,116119.2,2292,0,5547,102773.4,0,4050,17784.6,0,0,5032.6,0,12424.8,0,0,53495,0,0,0,5995,4409,1520.4,92273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,0,28,456.4,1790.6
"26","Phellinus_gilvus_HHB11977_C4H","p.gilv.n",4.04,0.03,16.7,35.3,18.6,4.396356135,31.5,0.31,1.71,1.4,4.222930764,-0.6,2.2,1.2,3.4,3.3,0.3,14.4575,0.249,0.307,0.113,3.4,2,9.3,6,-0.1,28.378,0.361,0.307,0.054,0.464990554975277,0,26601.6,46861.2,2928.2,0,9.19999999999999,1203.6,1525,4477.8,22641.2,569,83661,7038.6,0,0,0,0,0,1274.2,4285.2,0,0,1564,91492.4,0,0,70951.6,0,0,2793.6,0,3478.8,0,0,106051,0,14474.2,0,19987,4320,657.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0,0,0,1250,18,0,0,393,0,0,0,0,0,0
"27","Phellinus_hartigii_DMR94_44_A10E","p.har.n",1.54,1.8,9.6,28.2,18.6,1.158987574,19.1,0.42,1.99,1.57,1.824692822,-0.65,2.5,1.9,14.4,5.2,0.9,2.2675,1.3925,0.132,2.682,4.1,3.4,25.9,8.5,0.7,4.036,0.09,0.251,0,0.493196961916072,0,55143.6,0,0,0,0,2425.6,0,5457.8,5695.2,0,0,15390.6,0,0,9698.4,14.3999999999996,0,0,23678.2,2417,0,1135,62891.4,0,393,81258.6,6689.6,0,525.6,0,3956.8,0,0,111132,0,1146.2,0,14001,0,0,0,0,42628,0,17427,1999,4027,0,112232,0,0,0,0,0,211,0,0,1861,1431,0,97,0,0,0,2332,18272,0,0,2497.4,695.6
"28","Porodisculus_pendulus_HHB13576_B12C","p.pend.n",4.06,0.32,16.7,31.7,15,3.373207913,26.4,0.34,1.58,1.24,4.454101278,-0.64,2.9,1.1,17,17.5,1e-04,32.647,1e-04,0.134,0.118,11,1.7,9.9,15,0,0,0,0,0.118,0.464990554975277,0,0,0,67199.2,0,2967.2,0,122,0,0,0,0,355692.6,540,12568.8,0,0,0,9619.2,1206163.2,0,877,32859,22126.4,0,16547,66809.6,1435.6,22986,20321.6,0,274292.8,35841,0,4179,0,0,558.8,5194,0,47653.4,0,0,0,221,0,682,0,0,1651,121,0,692,0,0,0,0,649,267,96,0,675,0,130,492,522,0,0,0,252.4,3943.6
"29","Phellinus_robiniae_FP135708_A10G","p.robin.n",2.3,0.07,20.7,33,12.3,5.733109635,30.2,0.31,1.84,1.53,2.432534738,-0.63,1.8,1.3,14.6,7.9,1e-04,31.736,0.7275,0.4095,0.892,2.6,0.9,31,10.6,-0.1,0,0.932,0.041,0.892,0.519875244910036,0,18565.6,28980.2,2920.2,0,1017.2,1596.6,1121,7075.8,0,797,2970,145397.6,0,6442.8,13304.4,7966.4,616,0,102616.2,150,162,4356,77775.4,1635,4974,10433.6,904.6,145,6809.6,0,9326.8,0,0,23003,1279.8,1061.2,0,5875,5059,1849.4,0,0,0,5098,0,0,0,719,0,2371,28,10992,145,0,11913,12787,66459,3381,12284,8304,3365,0,6965,4812,37690,0,822057.8,3309,7667.4,4862.6
"30","Phellinus_robiniae_AZ15_A10H Banik/Mark","p.robin.s",2.14,0.12,19.8,31.6,11.8,4.366728528,28.7,0.31,1.79,1.48,2.257182749,-0.62,1.4,0.8,9.4,2.3,1e-04,32.04,5.525,0.277,5.396,2.5,1.5,26.8,8.1,-0.2,0,6.558,0,6.578,0.232495277487639,0,254019.6,51196.2,3523.2,3538.8,2665.2,4743.6,711,10563.8,183.199999999997,1687,11656,68367.6,0,5020.8,3710.4,6841.4,482,8308.2,104648.2,460,0,4150,112431.4,0,3603,6719.6,0,0,4577.6,0,11847.8,0,0,16973,0,224.2,0,2044,2648,1987.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,3324.6
"31","Phlebia_acerina_MR4280_B9G","p.rufa.acer.n",8.75,0.14,13.6,31.3,17.7,10.88993013,27.7,0.1,1.29,1.19,10.24630966,-0.24,0.6,1.1,2.9,1.4,1e-04,32.306,0.068,0.473,0.21,2.6,1.9,9.9,3.1,0.1,0,0.068,0,0.21,1,0,61907.6,90630.2,2682.2,6655.8,825.2,1290.6,1732,6885.8,0,342,10373,2981912.6,17074,35525.8,42670.4,88254.4,8417,0,691109.2,20054,331,9798,18211.4,12485,19675,90322.6,62918.6,15335,178744.6,0,237382.8,39142,0,2515,7186.8,8252.2,0,1113,0,28912.4,0,0,0,0,0,0,0,0,0,668,497,0,442,0,0,1812,0,0,0,164,0,0,0,0,0,0,0,0,0,0
"32","Phlebia_acerina_DR60_A8A","p.rufa.acer.s",8.51,0.27,11.8,30.4,18.6,9.702107683,26.6,0.34,1.62,1.28,10.27076125,-0.71,1.6,1.1,0.9,1.9,1e-04,15.825,1e-04,0.073,0.099,1.8,1.3,2.7,1.5,0.1,0,0,0,0.099,0.972597525159275,0,110343.6,54197.2,325.2,11344.8,590.2,1103.6,1635,14884.8,13777.2,0,0,267960.6,0,2093.8,4756.4,0,0,0,0,5382,0,0,65340.4,0,0,2963.6,142.6,0,2450.6,0,765.8,0,0,1145,1851.8,0,0,0,0,2964.4,0,0,0,0,0,0,0,0,0,0,617,0,1240,0,12147,21539,38368,0,0,10523,0,0,0,7546,0,0,0,0,0,0
"33","Pycnoporus_sanguineus_PR_SC_95_A11C","p.sang.s",4.97,0.02,23.5,41.4,17.9,15.56877033,37.8,0.37,2.08,1.71,5.075268467,-0.57,1.9,1,1.4,1.2,1e-04,16.188,0.185,0.1395,0.0455,11.7,1.4,2.7,6.6,0.1,29.881,0.185,0.24,0,0.697485832462916,39436,27447.6,19966.2,211.2,22.8000000000002,0,1211.6,326,1144.8,21218.2,860,1580,27000.6,0,1560.8,5772.4,0,0,2880.2,20144.2,3352,0,1895,47432.4,0,0,6227.6,390.6,0,2932.6,0,2805.8,0,0,50652,0,917.2,0,5477,6763,1555.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,0,0
"34","Schizophyllum_commune_TJV93_5_A10A","s.comm.n",4.41,0.53,17.8,37.1,19.3,8.984397239,32.3,0.47,2.67,2.2,6.889311397,-0.73,5.6,1,14.3,28.8,1e-04,1e-04,1e-04,1e-04,0.036,5.7,0.7,21.4,25.2,0,0,0,0,0.007,0.657595949221429,0,12558.6,57636.2,1653.2,1151.8,1491.2,1835.6,17273,8919.8,0,6447,0,8780304.6,24585,69230.8,159588.4,226822.4,10671,0,1270723.2,7493,1106,19129,23515.4,28314,44009,102029.6,52162.6,32387,117571.6,11280.2,303656.8,25475,0,0,9726.8,17185.2,242.8,15483,0,23425.4,0,0,0,0,0,0,0,0,0,0,254,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5542.6
"35","Schizophyllum_commune_PR1117","s.comm.s",2.57,0.59,21.7,35.7,14,8.351633279,32.8,0.42,2.74,2.32,3.646786106,-0.82,6.8,1.4,16.9,4.5,0.1,1e-04,1e-04,1e-04,0.112,10.7,1.3,22.6,8.4,0,0,0,0,0,0.592748978363819,0,28244.6,79138.2,3458.2,6681.8,5410.2,4080.6,4559,13105.8,12092.2,9762,9817,10601154.6,32866,159103.8,217827.4,249214.4,24785,50647.2,1604573.2,86464,362,76132,32354.4,39664,49566,65585.6,71450.6,39352,249318.6,0,438866.8,42974,0,33221,14826.8,5726.2,6576.8,6557,599,42518.4,0,0,0,0,0,0,0,0,0,526,986,0,0,0,3694,738,88,477,0,226,183,0,0,1486,3761,0,0,0,513.4,6044.6
